"Id","SalePrice"
1461,95194.8114998773
1462,164471.959196552
1463,187097.666366957
1464,199142.828327023
1465,180033.164497573
1466,181513.75602716
1467,166784.256102647
1468,170211.981410605
1469,198186.38112371
1470,121805.359740396
1471,190890.943596487
1472,106627.633721236
1473,106219.900042557
1474,177546.375317322
1475,110124.334629605
1476,363068.147266248
1477,224929.970049226
1478,343872.7421862
1479,339233.311610879
1480,443405.443855691
1481,277337.112287252
1482,208252.447007633
1483,188338.955378635
1484,176614.435891974
1485,186211.332449283
1486,208439.975846173
1487,319359.431827292
1488,239759.805743284
1489,188126.588347158
1490,256776.825389599
1491,197950.858927085
1492,91099.1642760039
1493,197296.913826587
1494,270187.857877416
1495,263123.341728011
1496,262059.147132879
1497,200327.124694262
1498,172411.888090827
1499,169314.441343023
1500,177048.778417704
1501,218152.973564932
1502,160987.860553564
1503,270761.470944165
1504,227431.134948185
1505,223354.44406539
1506,191918.704619279
1507,257570.273936186
1508,199092.814318417
1509,156828.747094094
1510,146486.441060992
1511,148863.654707147
1512,188520.786117438
1513,166661.582430102
1514,158154.654664167
1515,244973.148629431
1516,165999.852837474
1517,159777.195271229
1518,169537.05078368
1519,218111.075970586
1520,124339.915319082
1521,127720.400499915
1522,196944.978919985
1523,121286.388180006
1524,108629.872294537
1525,105923.002688021
1526,108095.223581965
1527,108609.660864579
1528,122527.245063464
1529,135756.533339941
1530,184624.233748993
1531,167682.773424962
1532,78763.1149794614
1533,154134.571555484
1534,104561.311947365
1535,154512.256007872
1536,99772.6387933949
1537,91762.6868823628
1538,125558.062971713
1539,172151.625348161
1540,134418.625345443
1541,115778.739241603
1542,127107.792480766
1543,192649.061524454
1544,89702.7424721236
1545,87883.6412416144
1546,129141.576310335
1547,158660.665500677
1548,115114.367908735
1549,100480.100267161
1550,136226.845868582
1551,97642.1247502349
1552,156268.267360229
1553,119466.560611501
1554,93307.6178081075
1555,191629.441401236
1556,109207.206551778
1557,109004.724260295
1558,85142.0392738116
1559,74380.1092028783
1560,140666.982855366
1561,165935.538833712
1562,121918.524629495
1563,106961.384067509
1564,184160.481265116
1565,163249.930411418
1566,204324.846952693
1567,91284.5479877614
1568,232335.658112239
1569,141457.086545468
1570,139339.572101661
1571,156371.534361524
1572,126944.168376939
1573,224334.033053915
1574,146565.71639453
1575,213790.064615581
1576,246201.534506338
1577,183145.374030098
1578,118410.557493588
1579,140846.984539336
1580,184291.764360342
1581,133119.300239582
1582,116192.513281485
1583,272434.43036933
1584,234734.134200702
1585,145866.518774058
1586,76993.1686354649
1587,105025.89390259
1588,142153.012184882
1589,115567.814553068
1590,131165.944917298
1591,93427.0951703962
1592,132687.86296043
1593,113852.214127155
1594,170432.733063071
1595,129031.76569921
1596,204957.029166571
1597,193326.201568593
1598,190748.662976872
1599,161065.968484675
1600,172589.084854292
